X,Y,OBJECTID,ADDRESS,ARTIST,TITLE,MEDIUM,YEAR,ART_TYPE,DISPLAY,LOCATION,NEIGHBORHOOD,SIZE_,WARD,DURATION,PROGRAM_SOURCE,ARTWORK
-77.023515042967546,38.914256255535726,1,813 S STREET NW,Richard Colman,Checker Club,Aerosol paint,2011,Mural,"Capitol Pool Checkers Club, located at back of building on corner of 9th & S Street, NW",813 s street nw,shaw,,1,Temporary,MuralsDC,
-76.986446281445524,38.867186554593715,2,1320 GOOD HOPE ROAD SE,"Helping Inner City Youth Succeed, Hicks",Untitled,Aerosol paint,2009,Mural,"African Heritage Center for African Dance & Music, mural located on side of building facing parking lot",1320b good hope road se,anacostia,1209 sq. ft.,8,Temporary,MuralsDC,
-76.995284097964657,38.879774866247914,3,745 8TH STREET SE,Michael Hammond,Depiction of the House’s Go-go Band,Aerosol paint on concrete,2011,Mural,"Sasha Bruce House, mural located on front of building",745 8th street se,capitol hill,140 sq. feet,6,Permanent,Commissioned Project,
-77.001522170320811,38.95704146049561,4,320 RIGGS ROAD NE,Joel Bergner and Rashad Cuffee,Life Makes Music,Aerosol paint,2008,Mural,"Off the intersection at South Dakota Ave NE & Riggs Road NE, , mural located back from street on retaining wall",357 riggs road ne,petworth,,4,Temporary,Neighborhood Projects,
-77.016779828947236,38.974891735441943,5,314 CARROLL STREET NW,"Words, Beats and Life",Takoma Green,Aerosol paint,2009,Mural,"Elevation 314, mural is located behind 314 Carroll Street, NW & visible from the Red Line Metro trains at Takoma Station",314 carroll street nw,takoma,150 x 10',4,Temporary,Neighborhood Projects,
-76.944686215372158,38.86919798058274,6,1400 41ST STREET SE,Alfred J. Smith,Positive Actions,Acrylic on wood,1993,Mural,"Fort Davis Recreation Center, located behind building in circular pavilion near playground",1400 41st street se,fort davis,"Two  panels:  60"" x 30"" and one panel:  45"" x 90""",7,Permanent,Community Initiatives,
-77.020835671881926,38.89955558844359,7,616 H STREET NW,Constance Flueres,The Yellow Line,"Paint, clay, neon",1989,"Sculpture, Mural","Gallery Place, Chinatown Metro Station, located inside station entrance",616 h street nw,chinatown,130',2,Temporary,MuralsDC,
-76.984688361293323,38.909745288073601,8,1201 MOUNT OLIVET ROAD NE,Roderick Turner,Black Men in Flight,Paint on board,1998,Mural,Located on side of North East Market Deli,1203 mt. olivet road ne,brentwood,8' x 28',5,Permanent,Art in the Metro,
-76.986969455441425,38.900450980304022,9,1338 H STREET NE,Justine Walden,Expressive Sign Project: Smokey's Barbershop,Pain on aluminum,2004,"Architectural, sign","Smokey's Barber Shop, business sign",1338 h street ne,atlas district,,6,Temporary,MuralsDC,
-77.022304703862048,38.913943453134451,10,710 S STREET NW,Eric B. Ricks,With Hard Work Dreams Become Reality,Aerosol paint on brick,2012,Mural,"Log Cabin Convenience Store, back of building",710 s street nw,shaw,12' x 26',6,Permanent,Community Initiatives,
-76.994564882555153,38.930360153562702,11,3225 8TH STREET NE,"Cita ""Chelove"" Sadeli",I Dance With The Dancers,Aerosol paint on concrete,2012,Mural,"Dance Place, mural located on right side of building",3225 8th street ne,pleasant plains,"148"" x 743""",5,Permanent,Inter District DPR,
-76.978627807395,38.865915649665844,12,1800 GOOD HOPE ROAD SE,William C. Howard,I Read,Glass,2010,Installation,"Anacostia Library, installation located inside building",1800 good hope road se,anacostia,,8,Temporary,MuralsDC,
-77.001789286311904,38.905506821805396,13,1179 3RD STREET NE,Daniel Hopkins,Pose,Aerosol paint on brick,2012,Mural,"Oasis Market, located on side of building facing M Street",1179 3rd street ne,noma,8' x 27',6,Temporary,MuralsDC,
-77.025232453896663,38.939171909746186,14,3910 GEORGIA AVENUE NW,Nekisha Durrett,Sweet,Uv coated canvas,2011,Mural,"3 Tree Flats, located on right side of condominium building",3910 georgia avenue nw,petworth,24 x 12',4,Temporary,MuralsDC,
-77.033309792868906,38.927203073272217,15,1420 COLUMBIA ROAD NW,Ryan McDonnell and Manuel Navarette,Untitled,Aerosol paint,2008,Mural,"CentroNia School, located on side street Harvard CT, on side of  building",1420 columbia road nw,columbia heights,762 sq. feet,1,Permanent,Neighborhood Projects,
-77.04613973190186,38.913725046183494,16,1736 CONNECTICUT AVENUE NW,Byron Peck,Dupont Circle,Paint on brick,1993,Mural,Located on side of building 2nd-3rd floor,1736 connecticut avenue nw,dupont circle,,2,Temporary,MuralsDC,
-77.016353458517699,38.913742380689598,17,400 FLORIDA AVENUE NW,Joel Bergner and Rashad Cuffee,The Crane,Aerosol paint,2008,Mural,"Ken's Carry Out, mural located on outside of building",400 florida avenue nw,shaw,225 sq. feet,5,Temporary,MuralsDC,
-77.077778012466737,38.950164181029514,18,3950 CHESAPEAKE STREET NW,Kevin Dobbe,Interactions,Four NEC monitors with wall domed camera above. 5 four ft. DMX controlled LED lights.,2012,Installation,"Wilson Senior High, LED DMX Display is located inside school",3950 chesapeake street nw,north cleveland park,"Four 55"" monitors",3,Permanent,Neighborhood Projects,
-77.009567293213024,38.910848303362236,19,12 FLORIDA AVENUE NW,James Bullough and Addison Karl,Untitled,Aerosol paint,2013,Mural,"Across from Tuxton Cricle Park, mural located on right side of building,",12 florida avenue nw,truxton circle,,5,Temporary,MuralsDC,
-76.9410901691585,38.901013390034322,20,4309 NANNIE HELEN BURROUGHS AVENUE NE,Rik Freeman,100 Years of African American History,Acrylic on masonry wall,1991,Mural,"Deanwood, across the street from Dean Avenue Cleaners",4309 nannie helen burroughs avenue ne,deanwood,12' x 120',7,Temporary,MuralsDC,
-76.991820668078645,38.829029734270087,21,885 CHESAPEAKE STREET SE,Cheryl Foster,Shooting for the Stars…Not Each Other,"Mosaic, mixed media",2000,Mural,"Southern Court Apartments, located onside of apartment building Chesapeake & Southern Avenue, SE",885 chesapeake street se,washington highlands,30' x 30',8,Temporary,MuralsDC,
-76.996916494788081,38.922067272626279,22,680 RHODE ISLAND AVENUE NE,Albus Cavus,Edgewood to the End of the World,Aerosol paint,2009,Mural,"Rhode Island Avenue Shopping Center, mural is located in the parking lot of the shopping center off of 4th Street",680 rhode island avenue ne,edgewood,20 x 275',5,Temporary,MuralsDC,
-76.982919600894263,38.921047494003744,23,2311 14TH STREET NE,Maureen Melville & Laurie Seigel,Brentwood Recreation Center,Stained glass windows,2007,"Mural, glass","Brentwood Recreation Center, located in windows of entrance",2311 14th street ne,brentwood,,5,Temporary,MuralsDC,
-76.993019099816365,38.898553076310137,24,640 10TH STREET NE,Carien Quiroga,Reaching Out - Joining Hands,"Glass mosaic, aluminum and photographs",2006,Mural,"Sherwood Recreation Center, located inside Center",640 10th street ne,capitol hill,6 1/2' x 16.7',6,Permanent,Community Initiatives,
-77.02165570448247,38.899640027807941,25,630 H STREET NW,Foon Sham,The Glory of Chinese Descendants,Neon,2000,"Architectural, neon","Gallery Place, Chinatown Metro Station, located inside station",630 h street nw,chinatown,,2,Permanent,Art in the Metro,
-77.003735302421191,38.839911820393517,26,3500 MARTIN LUTHER KING JR AVENUE SE,Cheryl Foster,Golden Years,"Acrylic, mixed media",2002,Mural,"Office on Aging's Senior Wellness Center, located inside Center",3500 martin luther king jr avenue se,congress heights,6' x 24',8,Permanent,Neighborhood Projects,
-77.02496324576029,38.912166921260081,27,925 RHODE ISLAND AVENUE NW,Byron Peck,Percy Ellis,Acrylic paint on panel,2005,Mural,"Shaw Junior High School, mural located inside school",925 rhode island avenue nw,shaw,5' x 7',6,Temporary,Neighborhood Projects,
-76.992916890042281,38.900440141649327,28,920 H STREET NE,Perran Collery,Expressive Sign Project: Park's Hardware,Glazed ceramic tile cemented on cement board,2004,"Architectural, sign","Park's Hardware, business sign",920 h street ne,atlas district,,6,Temporary,MuralsDC,
-76.992602301763085,38.938071784232079,29,1100 MICHIGAN AVENUE NE,Garin Baker,"Then and Now; Swimming Pool",Oil on Canvas,2007,Mural,"Turkey Thicket Recreation Center, located in Center",1100 michigan avenue ne,brookland,"mural - 9'x 12'; banners 2'x6'",5,Temporary,MuralsDC,
-77.040902010660702,38.919683577721401,30,1742 KALORAMA ROAD NW,Cita Sadeli,Closeup,Aerosol paint,2011,Mural,"Champlain Park, mural located on side of residential building",1742 kalorama road nw,adams morgan,"1,110 sq. feet",1,Permanent,Inter District DCPL,
-77.044457557209384,38.910854144520783,31,1528 CONNECTICUT AVENUE NW,Ethelbert Miller,We Embrace,Engraved concrete,2006,Interactive Installation,"Dupont Circle Metro Station, located behind entrance in plaza on Connecticut Avenue",1546 connecticut avenue nw,dupont circle,,2,Temporary,MuralsDC,
-77.028777281267949,38.91727232966111,32,1213 U STREET NW,Aneikan Udofia,Ben's Mural,Aerosol paint on brick,2012,Mural,"Ben's Chili Bowl, mural located on right side of building",1213 u street nw,shaw,12' x 20',1,Permanent,PABC Grant,
-77.021538741276473,38.908997566756113,33,1401 7TH STREET NW,Joan Danziger,Acrobatic Troupe,Mixed media,2006,Sculpture,"Kennedy Recreation Center, located inside lobby",1401 7th street nw,shaw,"Approx. 8 feet H, each",6,Temporary,MuralsDC,
